Player,Overall Ranking,Offensive Ranking,Defensive Ranking,Position Rank,Position Offensive Ranking,Position Defensive Ranking,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM
Chet Holmgren,1,3,1,1,2,1,PF,2022,20.15,FR,Gonzaga,84,195,90,115,1,0.691,0.68,8,28.7,19.6,11.4,1.6,12.6,15.7,21.6,424,7.5,7.5,15
Walker Kessler,2,4,2,1,1,1,C,2022,20.91,SO,Auburn,84.25,256,88.25,113,20,0.627,0.627,10.9,22.2,16.6,6.9,2.4,19.1,10.7,19,360,6.2,8,14.1
Jabari Smith,3,1,14,2,1,5,PF,2022,19.11,FR,Auburn,82,220,85,110,6,0.57,0.521,3.5,23.5,13.6,14,2.1,3.8,11.1,27.6,519,7.4,3.8,11.1
Tari Eason,4,6,3,3,3,2,PF,2022,21.12,SO,Louisiana State,78.75,217.4,86,107.5,113,0.615,0.559,10.5,19.8,15.2,10.1,4.5,6.2,13.8,31.8,506,9,5.7,14.7
AJ Griffin,5,2,41,1,1,4,SF,2022,18.83,FR,Duke,78,220,84,105.5,14,0.63,0.613,3.9,13.7,9.1,7,1.3,2.3,7.2,18.8,349,6.6,1.5,8.1
Kennedy Chandler,6,8,9,1,1,1,PG,2022,19.77,FR,Tennessee,71.5,172.2,77.25,97,9,0.539,0.527,2.5,9.7,6,32.3,4.1,0.9,16.2,25,479,4.2,4.8,9
Mark Williams,7,14,5,2,4,3,C,2022,20.52,SO,Duke,84,242.4,90.5,117,29,0.7,0.702,13.633,20.8,17.4,7.9,1.533,10.8,11.7,19.333,323.333,7.2,4.433,11.567
Jeremy Sochan,8,10,12,4,6,4,PF,2022,19.09,FR,Baylor,81,230,84,108.5,156,0.546,0.531,8.9,20.6,14.7,12.3,2.9,3.2,15.6,19.6,282,3.6,4.4,8
Keegan Murray,9,7,20,5,4,6,PF,2022,21.84,SO,Iowa,80,225,83,104,518,0.621,0.594,9.8,19.933,14.867,8.467,2.4,6.667,6.967,25.967,554,10.3,2.933,13.233
Keon Ellis,10,24,6,1,7,1,SG,2022,22.46,SR,Alabama,75.5,167.4,80.5,102,272,0.616,0.57,6.033,15.667,10.933,10.233,3.367,2.1,15.667,16.2,316,4.5,4.533,9.033
