Player,Class,Season,School,Conf,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,OWS,DWS,WS,OBPM,DBPM,BPM,Position,Height,Weight,Wingspan,Standing Reach,RSCI_Ranking,Draft_Age
Zion Williamson,FR,2019,Duke,ACC,0.702,0.708,12.7,18,15.5,14.9,3.9,5.8,12.8,28.6,663,5.5,2.8,8.3,13.4,6.7,20.1,PF,77.75,272,82.5,103,5,18.95
Anthony Davis,FR,2012,Kentucky,SEC,0.654,0.628,11.6,25.6,19,7.5,2.5,13.7,8.6,18.8,550,5.9,4.1,9.9,9.1,8.1,17.2,PF,81.25,221.8,89.5,108,1,19.3
Sindarius Thornwell,SR,2017,South Carolina,SEC,0.543,0.472,6.407,14.327,10.227,19.927,3.093,2.607,13.527,26.68,542.6,3.047,2.36,5.427,6.913,4.54,11.413,SG,75.5,211.6,82,103,36,22.6
Brandon Clarke,JR,2019,Gonzaga,WCC,0.699,0.693,13.9,19.6,17.1,12.3,2.3,11.3,11.3,23.9,603,5.5,3.2,8.8,9.8,6.5,16.3,SF,79.25,207.2,80.25,102,256,22.8
Frank Kaminsky,SR,2015,Wisconsin,Big Ten,0.606,0.57,7.527,21.327,14.56,15.727,1.773,5.053,9.307,25.947,526.2,5,2.227,7.227,8.853,4.8,13.653,C,83.75,231.2,83,109.5,187,22.22
Denzel Valentine,SR,2016,Michigan State,Big Ten,0.583,0.556,3.9,19.627,12.233,36.1,1.887,0.88,16.587,25.06,543.733,3.94,2.1,6.053,8.28,3.74,12.047,SG,76,210.4,82.75,102,92,22.6
Delon Wright,SR,2015,Utah,Pac-12,0.626,0.56,4.2,14.8,9.967,31.533,4.033,3.4,15.233,22.333,557.333,4.933,3.133,8.033,8,6.5,14.433,PG,76.25,181.4,79.5,101.5,187,23.16
Victor Oladipo,JR,2013,Indiana,Big Ten,0.623,0.591,10.786,15.571,13.229,14.386,4,2.471,18.129,22.529,422.714,3.243,2.029,5.214,6.629,4.757,11.386,SG,75.25,213.2,81.25,100.5,146,21.15
Kelly Olynyk,JR,2013,Gonzaga,WCC,0.659,0.635,11.767,22.033,17.133,13.733,1.567,3.8,17.167,27.7,409,3.5,1.567,5.133,7.567,2.7,10.2,PF,82.75,234,81.75,108,151,22.19
Jae Crowder,SR,2012,Marquette,Big East,0.587,0.562,7.833,21.3,14.533,12.8,3.8,3.167,7.667,22.333,505.667,4.133,2.633,6.767,7.8,4.6,12.433,SF,76.75,241.2,81.25,99.5,161,21.98
Otto Porter,SO,2013,Georgetown,Big East,0.586,0.544,7.4,20.5,14.1,15.967,3,3.033,10.667,21.867,424,3.667,2.767,6.367,6.867,5.033,11.967,SF,79.5,197.6,85.5,105.5,35,20.07
Trey Burke,SO,2013,Michigan,Big Ten,0.559,0.521,2.067,9.967,5.967,34.433,2.433,1.4,13.5,27.667,694.333,5.433,1.633,7.167,8,2.933,10.933,PG,71.75,187,77.5,97.5,108,20.62
Kemba Walker,JR,2011,Connecticut,Big East,0.543,0.478,3.9,11.5,7.9,28,3.1,0.5,9.5,32.4,930,7.3,2.4,9.7,9.2,3.9,13.1,PG,71.5,184,75.5,91.5,16,21.13
Cameron Johnson,SR,2019,North Carolina,ACC,0.648,0.621,6.5,13.3,10,13.8,2.1,1.1,10.3,21.8,545,4.3,1.9,6.2,9.4,3.5,12.9,SG,79,205.2,82,103,354,23.3
K.J. McDaniels,JR,2014,Clemson,ACC,0.546,0.5,9.171,14.843,12.071,9.914,2.386,8.529,12.829,26.657,427.714,2.543,2.271,4.786,5.714,4.514,10.171,SF,76.5,195.6,83.25,102,187,21.37
Buddy Hield,SR,2016,Oklahoma,Big 12,0.607,0.569,4.973,12.2,8.747,12.84,2.14,1.073,12.913,28.207,659.333,4.3,1.82,6.147,8.473,2.4,10.867,SG,75.75,212.4,81.25,101,111,22.52
Justin Anderson,JR,2015,Virginia,ACC,0.571,0.528,3.7,14.171,9.114,15.114,1.557,3.486,12.586,22.929,282.143,1.957,1.843,3.829,5.614,4.5,10.114,SF,77.25,230.6,83.75,101,48,21.6
Brice Johnson,SR,2016,North Carolina,ACC,0.614,0.588,11.4,26.013,18.873,8.84,2.06,5.467,11.787,24.867,496.533,3.713,2.147,5.86,6.447,3.653,10.1,PF,81,208.6,84.5,106.5,41,21.99
Grant Williams,JR,2019,Tennessee,SEC,0.606,0.544,9.229,16,12.814,16.143,1.743,5.671,13.571,26.643,595.286,4.229,2.043,6.286,6.343,3.714,9.986,PF,77.75,240.2,81.75,104.5,207,20.55
Willie Cauley-Stein,JR,2015,Kentucky,SEC,0.584,0.586,11.657,17.186,14.629,7,2.814,8.771,14.171,16.957,305,2.2,2.771,4.971,4.729,6.8,11.557,C,83.25,242.4,87,111,39,21.85
Kentavious Caldwell-Pope,SO,2013,Georgia,SEC,0.552,0.513,4.533,19.6,11.933,14.4,3.767,1.7,10.033,27.7,474.333,3.233,2.067,5.267,7.167,3.533,10.7,SG,76.5,203.6,80,100.5,15,20.35
Mike Muscala,SR,2013,Bucknell,Patriot,0.583,0.514,11.386,28.671,20.357,16.486,0.986,7.529,10.729,30.6,592.143,4.857,2.643,7.486,7.271,3.043,10.314,C,82.25,230.2,85,108,199,21.99
Derrick White,SR,2017,Colorado,Pac-12,0.627,0.578,3.5,10.5,7,28.6,2.2,4.9,14.2,25.3,603,4.5,1.4,5.9,9,3.4,12.4,PG,75.25,189.8,79.5,101.5,261,22.97
Kyle Wiltjer,SR,2016,Gonzaga,WCC,0.623,0.59,6.3,15.6,11.367,10.7,0.767,2.4,9.967,28.133,625,4.9,2.133,7.033,8.4,1.6,10,PF,80.75,242.8,84.25,102.5,19,23.67
Draymond Green,SR,2012,Michigan State,Big Ten,0.534,0.496,8.667,28.333,18.733,26.333,3,3.533,16.567,27.033,562.333,3.2,3.133,6.333,6.433,5.6,12,PF,77.75,235.6,85.25,105,95,22.32
Taurean Prince,SR,2016,Baylor,Big 12,0.549,0.513,8.829,14.986,11.943,13.186,2.729,2.857,15.614,27.571,434.857,2.2,1.471,3.671,5.414,2.243,7.657,SF,78.5,220.2,83.5,102,174,22.26
Derrick Williams,SO,2011,Arizona,Pac-10,0.69,0.65,11.8,21.9,17,8.7,1.9,2.3,15.7,28.9,675,6,1.9,7.9,9.6,2.5,12.1,PF,79.25,248.4,85.5,108,101,20.08
Jevon Carter,SR,2018,West Virginia,Big 12,0.544,0.499,2.853,12.733,7.513,28.587,4.553,1.073,14.02,22.38,561.6,3.447,2.687,6.08,5.587,5.327,10.913,PG,72.25,196.2,76.25,95,253,22.77
Josh Hart,SR,2017,Villanova,Big East,0.616,0.589,6.973,16.527,12.133,15.42,2.593,1.093,11.267,24.94,565.8,4.36,2.447,6.793,7.107,3.607,10.673,SG,75.75,209.2,80.25,101,97,22.3
Shabazz Napier,SR,2014,Connecticut,AAC,0.578,0.514,2.773,13.24,8.3,29.82,3.253,0.753,15.987,25.493,611.267,4.047,2.313,6.327,6.32,3.667,9.987,PG,71,175.2,75.25,93,85,22.95
Marcus Smart,SO,2014,Oklahoma State,Big 12,0.545,0.476,5.2,15.033,10.233,29,5.1,2,15.633,28.533,571.667,2.9,2.633,5.533,5.9,5.733,11.6,PG,74,227.2,81.25,99,9,20.31
John Jenkins,JR,2012,Vanderbilt,SEC,0.651,0.608,1.767,8.533,5.233,8.233,1.433,1,9.467,25.767,561.667,5.133,1.1,6.233,9.6,1.267,10.867,SG,75.25,212,80.5,98,29,21.31
Jarrod Uthoff,SR,2016,Iowa,Big Ten,0.558,0.517,5.9,17.371,11.7,9.129,1.829,7.829,7.829,25.643,453,2.914,1.929,4.843,7.2,3.871,11.071,PF,80.5,214.4,83.5,104,130,23.1
Jaren Jackson,FR,2018,Michigan State,Big Ten,0.647,0.595,8.8,19.7,15,9.3,1.6,14.3,17.4,23.5,347,2.3,2.2,4.6,4.4,7.3,11.7,PF,81.75,236,89.25,110,9,18.77
Sean Kilpatrick,SR,2014,Cincinnati,AAC,0.557,0.51,4.1,12.22,8.007,16.2,2.453,0.393,10.587,28.033,560.4,3.973,2.207,6.233,7.427,2.62,9.993,SG,74.5,218.7,79,99,151,24.47
Jared Sullinger,SO,2012,Ohio State,Big Ten,0.591,0.54,12.967,25.867,19.3,8.2,2.2,3.333,10.967,27.6,611.667,5,2.967,8.033,7.367,3.533,10.967,PF,79.75,268.2,85.25,105.5,2,20.32
