"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2011,"Solomon Alabi","C",83.5,237.4,89,113,13.2,5
2011,"Cole Aldrich","C",81,236,88.75,111.5,11.48,8.5
2011,"Al-Farouq Aminu","SF",79.25,216,87.25,108.5,11.29,8.2
2011,"James Anderson","SF",76.75,207.6,80.5,104,11.86,7.9
2011,"Luke Babbitt","SF",79.5,217.8,83.25,104.5,10.98,5.6
2011,"Eric Bledsoe","PG",72.25,191.6,79.5,98,NA,5.6
2011,"Trevor Booker","PF",78.25,235.8,81.75,106,11.15,7.3
2011,"Craig Brackins","PF",80.5,229,84,109,11.65,7.9
2011,"Avery Bradley","SG",74,180.4,79.25,98.5,11.47,4
2011,"Derrick Caracter","PF",80.25,280,84.25,107.5,12.78,12.8
2011,"Sherron Collins","PG",70.25,217.2,74.5,94,12.31,9.2
2011,"DeMarcus Cousins","C",81.5,291.8,89.75,113,11.4,16.4
2011,"Jordan Crawford","SG",75,198.4,79,101,11.03,4.9
2011,"Ed Davis","PF",81,226.6,84,108,11.7,10
2011,"Devin Ebanks","SF",79,207.8,84.25,107.5,11.69,7.9
2011,"Derrick Favors","PF",80.75,245.2,88,110,11.74,6.5
2011,"Keith Gallon","PF",80.5,301.8,88.5,109.5,13.44,15.1
2011,"Charles Garcia","SF",80.25,231.6,85.75,107.5,11.65,7
2011,"Paul George","SF",79.75,214.4,83.25,107,NA,5
2011,"Luke Harangody","PF",78,240.2,81.5,106,11.83,11.1
2011,"Manny Harris","SG",76,185.1,79.25,102,NA,3.8
2011,"Lazar Hayward","SG",76.5,225.8,84.75,102,10.87,7.5
2011,"Gordon Hayward","SF",78.75,211,79.75,103,11.73,6.9
2011,"Xavier Henry","SG",77.25,210.2,83.25,105,11.1,4.7
2011,"Darington Hobson","SG",77.25,203.6,81.25,104.5,11.68,6.2
2011,"Damion James","SF",78.25,226.6,84.75,107,10.89,9.6
2011,"Wesley Johnson","SF",78.25,206.4,85,106,11.43,4.6
2011,"Armon Johnson","PG",74,195.2,80,99.5,11.25,5.6
2011,"Dominique Jones","SG",75.25,216,81.25,101,10.88,5.9
2011,"Jerome Jordan","C",83.5,244.2,89.25,113,NA,6.9
2011,"Sylven Landesberg","SG",76.75,210,81,100.5,11.59,11.6
2011,"Gani Lawal","PF",79.5,233.4,84,107.5,11.61,6.3
2011,"Greg Monroe","PF",81.75,246.6,86.25,108.5,12.1,11.2
2011,"Daniel Orton","C",80.75,269.2,88.25,110.5,12.32,13.8
2011,"Artsiom Parakhouski","C",82.25,268.2,85,109.5,12.07,6
2011,"Patrick Patterson","PF",80,239.6,85.25,107,11.14,5.3
2011,"Dexter Pittman","PF",81.5,302.6,90,111,NA,20.8
2011,"Andy Rautins","SG",76.25,191.6,79,100,11.27,6.2
2011,"Ryan Richards","PF",82.5,230.2,85.5,110,11.33,8
2011,"Stanley Robinson","SF",78.5,213.2,84,107.5,11.65,8.3
2011,"Larry Sanders","PF",81.25,222.4,89.75,112,12.49,4.6
2011,"Jon Scheyer","PG",76.75,180,75.25,99,NA,5.4
2011,"Lance Stephenson","SG",76.5,227,82.5,103,11.39,9.3
2011,"Mikhail Torrance","PG",76,208.8,79.5,103,11.43,7
2011,"Evan Turner","SG",77.75,213.8,80,103.5,11.06,8.6
2011,"Ekpe Udoh","PF",80.75,237.4,88.5,106.5,11.15,8
2011,"Jarvis Varnado","PF",80.25,210.2,87.5,109.5,11.61,9.5
2011,"Greivis Vasquez","PG",77,210.8,79,101,NA,8.6
2011,"John Wall","PG",74.75,195.6,81.25,101.5,10.84,5.6
2011,"Willie Warren","SG",74.5,208.4,78,99.5,11.21,7.6
2011,"Terrico White","SG",75.75,202.6,81,101,11.38,3.7
2011,"Hassan Whiteside","C",82.5,226.6,91,113,11.83,5.5
2012,"Keith Benson","C",82,217,87.75,109.5,11.88,6.1
2012,"Marshon Brooks","SG",76.25,194.6,85,101,10.74,5.2
2012,"Alec Burks","SG",77,192.6,82,103.5,10.96,5.1
2012,"Jimmy Butler","SF",78,222.2,79.5,101.5,11.12,5.4
2012,"Norris Cole","PG",72.25,174.4,74.25,95.5,10.07,4.7
2012,"Jon Diebler","SG",77.25,196.6,78,99,10.94,8.5
2012,"Michael Dunigan","PF",80.5,237.6,87.25,107.5,11.85,8
2012,"LaceDarius Dunn","SG",75,187.8,78.25,101,11.45,5.5
2012,"Kenneth Faried","PF",78,224.6,84,108,11.35,6.3
2012,"James Fredette","PG",72.75,196,76.5,96.5,10.42,7.7
2012,"Andrew Goudelock","PG",73.25,197.6,76.25,96.5,10.33,9.9
2012,"Jordan Hamilton","SF",78.75,228.4,81.5,104,11.47,9.8
2012,"Justin Harper","PF",80,228,83.75,106,11.92,4
2012,"Tobias Harris","SF",78.5,222.8,83,103.5,10.96,8.4
2012,"Tyler Honeycutt","SF",78.75,186.8,81,105,11.68,5.3
2012,"Scotty Hopson","SG",77.75,204.6,82.5,103.5,10.47,4.8
2012,"Kyrie Irving","PG",73.75,191,76,99,NA,10.2
2012,"Rick Jackson","PF",80.25,241.8,86,106.5,11.51,8.3
2012,"Charles Jenkins","PG",73.5,216.4,79.5,96.5,11.68,4.3
2012,"JaJuan Johnson","PF",81,219.8,86,107.5,11.21,7.5
2012,"Cory Joseph","PG",74,186.2,77.5,99,10.75,9.7
2012,"Enes Kanter","PF",81.75,259.2,85.5,109.5,11.3,5.9
2012,"Brandon Knight","PG",73.5,176.8,78.75,98.5,10.74,4.2
2012,"Malcolm Lee","SG",76,198.2,81.75,101.5,11.2,5.9
2012,"Kawhi Leonard","SF",78,227.4,87,106,11.45,5.4
