"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2023,"Ochai Agbaji","SG",76.5,216.8,82.25,104,10.77,5.4
2023,"Patrick Baldwin Jr.","SF",81.25,230.8,85.75,110.5,12.25,8.9
2023,"Paolo Banchero","PF",NA,NA,NA,NA,NA,NA
2023,"Dominick Barlow","PF",80.75,221,87,108.5,11.29,5.9
2023,"MarJon Beauchamp","SG",77.25,196.6,84.75,106,NA,5.3
2023,"Hugo Besson","SG",76.5,180.4,77.5,102,11.36,8.8
2023,"Malaki Branham","SG",76,194.8,82,102.5,11.38,6.1
2023,"Christian Braun","SG",77.5,209.2,78.5,99.5,11,6.2
2023,"Kendall Brown","SF",78.25,201.2,83,103,11.57,4.9
2023,"John Butler Jr.","PF",83.75,174.4,86.25,112,11.16,4.7
2023,"Julian Champagnie","SF",78.25,212.4,82,107,11.39,7.1
2023,"Kennedy Chandler","PG",71.5,172.2,77.25,97,10.73,4.4
2023,"Max Christie","SG",76.25,189.2,80.75,102.5,10.82,4.8
2023,"Kofi Cockburn","C",83,293,88.25,110.5,12.11,8.2
2023,"Dyson Daniels","SG",78,195.2,82.5,105,10.81,4.9
2023,"Johnny Davis","PG",76.25,196.4,80.5,103.5,NA,6.7
2023,"JD Davison","PG",72.5,191.8,78.5,99.5,11.38,7.8
2023,"Darius Days","SF",NA,NA,NA,NA,NA,NA
2023,"Moussa Diabate","C",81.25,216.6,86.5,109.5,11.16,2.7
2023,"Ousmane Dieng","SF",NA,NA,NA,NA,NA,NA
2023,"Khalifa Diop","C",NA,NA,NA,NA,NA,NA
2023,"Jalen Duren","C",NA,NA,NA,NA,NA,NA
2023,"Tari Eason","PF",78.75,217.4,86,107.5,NA,5.9
2023,"Keon Ellis","SG",75.5,167.4,80.5,102,10.87,3.8
2023,"Michael Foster Jr.","C",79.75,236.6,84.25,109.5,11.49,6.2
2023,"Collin Gillespie","PG",73.5,195.8,76,98,10.95,8.6
2023,"AJ Griffin","SF",NA,NA,NA,NA,NA,NA
2023,"Jaden Hardy","SG",NA,NA,NA,NA,NA,NA
2023,"Ron Harper Jr.","SF",76,240.4,85.25,105.5,11.41,14.3
2023,"Chet Holmgren","PF",NA,NA,NA,NA,NA,NA
2023,"Harrison Ingram","SF",77.25,232.8,84.25,103.5,11.83,8.3
2023,"Jaden Ivey","PG",NA,NA,NA,NA,NA,NA
2023,"Trayce Jackson-Davis","C",NA,NA,NA,NA,NA,NA
2023,"Nikola Jovic","SF",81.5,222.6,84.25,108.5,NA,7.4
2023,"Johnny Juzang","SG",77.25,208.6,83,102.5,11.03,7.5
2023,"Ismael Kamagate","PF",NA,NA,NA,NA,NA,NA
2023,"Trevor Keels","SG",75.25,223.8,79.25,101,11.33,13.5
2023,"Walker Kessler","C",84.25,256,88.25,113,NA,14.7
2023,"Christian Koloko","C",82.75,221,89.25,113,11.3,5.7
2023,"Jake LaRavia","PF",78.75,227.2,81.5,104,10.58,9
2023,"Justin Lewis","PF",78.25,235.4,86.5,105.5,11.49,7.3
2023,"E.J. Liddell","PF",77.5,243,83.75,103.5,11.11,12.2
2023,"Kenneth Lofton Jr.","PF",NA,NA,NA,NA,NA,NA
2023,"Tyrese Martin","SG",NA,NA,NA,NA,NA,NA
2023,"Bennedict Mathurin","SG",76.5,204.6,81,104,NA,5.7
2023,"Matthew Mayer","SF",80,216.4,82.5,105,10.74,11.1
2023,"Bryce McGowens","SG",77.25,181.2,80.75,103.5,11.12,5.4
2023,"Leonard Miller","SF",80.5,211,86,106.5,11.11,5.7
2023,"Josh Minnott","PF",NA,NA,NA,NA,NA,NA
2023,"Aminu Mohammed","SG",75.5,212.8,83,104,11.54,5.1
2023,"Iverson Molinar","PG",74.25,183.2,80,101,11.23,4.8
2023,"Jean Montero","PG",73,171.8,77.25,98.5,11.19,7.4
2023,"Wendell Moore","SG",76.25,217.2,84.5,101,10.94,7.5
2023,"Keegan Murray","PF",NA,NA,NA,NA,NA,NA
2023,"Andrew Nembhard","PG",75,195.6,77.75,99,10.46,4.4
2023,"Scotty Pippen Jr.","PG",72,180,77.75,95.5,11.07,5.3
2023,"Gabriele Procida","SG",77.75,192.8,80,106,11.02,3.8
2023,"Jared Rhoden","SG",NA,NA,NA,NA,NA,NA
2023,"Orlando Robinson","C",81.75,244.4,88,111,11.4,9.5
2023,"David Roddy","PF",76.5,260.8,83.5,105,10.75,11.6
