Year,Player,Position,OBPM,DBPM
2011,Arron Afflalo,SG,1.4,-1.2
2011,LaMarcus Aldridge,PF,3.4,-0.4
2011,Ray Allen,SG,1.5,0.7
2011,Tony Allen,SG,-0.6,2.3
2011,Al-Farouq Aminu,SF,-2.9,0.7
2011,Lou Amundson,PF,-4,0.1
2011,Ryan Anderson,PF,5.2,-1.1
2011,Carmelo Anthony,SF,3.8,-0.2
2011,Joel Anthony,C,-2,1.6
2011,Trevor Ariza,SF,-0.4,1.7
2011,Omer Asik,C,-3.2,2.5
2011,D.J. Augustin,PG,0.7,-3.2
2011,Gustavo Ayon,PF,0,2.5
2011,Leandro Barbosa,SG,-0.6,-0.6
2011,J.J. Barea,PG,1.1,-2.1
2011,Andrea Bargnani,C,2.4,-1.3
2011,Matt Barnes,SF,0.4,1.3
2011,Brandon Bass,PF,-1.3,0.3
2011,Shane Battier,SF,-0.7,1.6
2011,Nicolas Batum,SF,2.6,0
2011,Jerryd Bayless,PG,2.4,-0.7
2011,Michael Beasley,SF,-1.2,-0.9
2011,Rodrigue Beaubois,PG,-0.4,1.7
2011,Marco Belinelli,SG,-0.4,-0.8
2011,Raja Bell,SG,-1.8,-0.7
2011,Andris Biedrins,C,-3.8,1.5
2011,Bismack Biyombo,C,-4.5,-0.2
2011,DeJuan Blair,PF,-0.4,0
2011,Steve Blake,PG,-2.5,0
2011,Matt Bonner,PF,2.4,0.3
2011,Trevor Booker,PF,-0.8,0
2011,Carlos Boozer,PF,1.1,1.6
2011,Chris Bosh,PF,1,-0.2
2011,Avery Bradley,PG,-2.3,0.7
2011,Elton Brand,C,-0.2,1.8
2011,Corey Brewer,SF,-0.8,0.7
2011,Ronnie Brewer,SG,-1.5,2.2
2011,MarShon Brooks,SG,-0.7,-1.7
2011,Derrick Brown,SF,-0.3,-1.2
2011,Shannon Brown,SG,-0.2,-0.9
2011,Kobe Bryant,SG,4.2,-0.9
2011,Chase Budinger,SF,1.8,-0.6
2011,Alec Burks,SG,-0.6,-1.4
2011,Caron Butler,SF,-0.8,-1.2
2011,Andrew Bynum,C,2.7,0.2
2011,Jose Calderon,PG,2.4,-0.7
2011,Marcus Camby,C,-0.1,2.3
2011,Vince Carter,SG,-0.7,0.8
2011,Omri Casspi,SF,-1.3,-0.9
2011,Mario Chalmers,PG,-0.8,1.2
2011,Tyson Chandler,C,1.2,1.1
2011,Norris Cole,PG,-4.9,-1.4
2011,Darren Collison,PG,0.3,-0.5
2011,Nick Collison,PF,-0.5,0.7
2011,Mike Conley,PG,1,1.4
2011,Daequan Cook,SG,-0.5,-0.7
2011,DeMarcus Cousins,C,0.4,-1.3
2011,Jamal Crawford,PG,1,-1.2
2011,Jordan Crawford,SG,0.4,-2.1
2011,Dante Cunningham,PF,-0.3,1
2011,Stephen Curry,PG,4.1,0.3
2011,Samuel Dalembert,C,-1.1,1.1
2011,Ed Davis,PF,-1.2,0.8
2011,Glen Davis,PF,-2.4,-0.7
2011,Carlos Delfino,SF,-1.1,1.1
2011,Luol Deng,SF,0.6,1.1
2011,DeMar DeRozan,SG,-1.4,-1.3
2011,Boris Diaw,PF,-1.6,-0.2
2011,Goran Dragic,PG,1.9,0
2011,Jared Dudley,SG,1.6,-0.4
2011,Chris Duhon,PG,-2.4,0.6
2011,Tim Duncan,C,2,1.3
2011,Mike Dunleavy,SF,2.3,-0.9
2011,Kevin Durant,SF,6.2,0.8
2011,Wayne Ellington,SG,-2.7,-0.2
2011,Monta Ellis,SG,1,-1.3
2011,Reggie Evans,PF,-3.5,-0.2
2011,Tyreke Evans,SG,0.3,-0.9
2011,Kenneth Faried,PF,2.4,-0.2
2011,Jordan Farmar,PG,2.5,-2.1
2011,Derrick Favors,PF,-0.6,-0.5
2011,Raymond Felton,PG,-0.3,-1.2
2011,Rudy Fernandez,SG,0.6,0.1
2011,Landry Fields,SG,-1.1,1.1
2011,Derek Fisher,PG,-3.7,0.4
2011,Gary Forbes,SG,-0.4,-0.6
2011,Randy Foye,SG,1.1,-0.9
2011,Jimmer Fredette,PG,-0.9,-2.5
2011,Enes Freedom,C,-1.2,-1.7
2011,Channing Frye,PF,0.2,0.7
2011,Sundiata Gaines,SG,-0.5,0.8
2011,Danilo Gallinari,SF,1.9,-0.1
2011,Francisco Garcia,SF,-1.6,0.9
2011,Kevin Garnett,C,1.8,2.5
2011,Marc Gasol,C,1,2.1
2011,Pau Gasol,PF,2.6,0.8
2011,Rudy Gay,SF,1.7,0.2
2011,Alonzo Gee,SG,-1.2,-0.2
2011,Paul George,SG,1.4,2.1
2011,Daniel Gibson,SG,-1.9,-0.4
2011,Taj Gibson,PF,-0.7,1.5
2011,Manu Ginobili,SG,5.8,1
2011,Drew Gooden,C,1.5,-0.6
2011,Ben Gordon,SG,-0.3,-1.4
2011,Marcin Gortat,C,2.2,0
2011,Danny Granger,SF,3.5,-0.6
2011,Aaron Gray,C,-3.6,0.1
2011,Danny Green,SG,1.8,1.2
2011,Gerald Green,SF,0.7,-0.5
2011,Willie Green,SG,0.1,-0.6
2011,Donte Greene,PF,-1.6,-0.8
2011,Blake Griffin,PF,3.9,-0.2
2011,Tyler Hansbrough,PF,-1.1,-0.7
2011,James Harden,SG,4.1,0.2
2011,Al Harrington,PF,0.5,-0.8
2011,Devin Harris,PG,1.6,-0.8
2011,Udonis Haslem,PF,-2.2,-0.2
2011,Spencer Hawes,C,-0.2,1.6
2011,Chuck Hayes,C,-3.2,0.2
2011,Gordon Hayward,SF,1.7,-0.1
